ballot_date,ballot_type,is_federal,is_cantonal,is_municipal,is_e_voting_available,electorate,notes,filename
1992-09-27,referendum,TRUE,TRUE,FALSE,FALSE,202069,NA,v199240
1992-12-06,referendum,TRUE,FALSE,TRUE,FALSE,202561,Commune de Grand-Saconnex,v199250
1993-03-07,referendum,TRUE,TRUE,FALSE,FALSE,203409,NA,v199310
1993-06-06,referendum,TRUE,TRUE,FALSE,FALSE,203720,NA,v199320
1995-10-22,election,TRUE,FALSE,FALSE,FALSE,206780,NA,v199560
1996-03-10,referendum,TRUE,TRUE,TRUE,FALSE,200333,Commune de Chêne-Bougeries,v199620
1996-06-09,referendum,TRUE,TRUE,FALSE,FALSE,200274,NA,v199640
1996-12-01,referendum,TRUE,TRUE,TRUE,FALSE,200734,Commune de Lancy,v199660
1997-06-08,referendum,TRUE,TRUE,TRUE,FALSE,200026,Commune de Genève,v199720
1997-09-28,referendum,TRUE,FALSE,FALSE,FALSE,200677,NA,v199750
1997-10-12,election,FALSE,TRUE,FALSE,FALSE,200638,Grand Conseil,v199760
1997-11-16,election,FALSE,TRUE,FALSE,FALSE,200667,Conseil d'Etat,v199770
1998-06-07,referendum,TRUE,TRUE,TRUE,FALSE,200571,Communes de Chêne-Bougeries et Genève,v199820
1998-09-27,referendum,TRUE,TRUE,TRUE,FALSE,201033,Commune de Genève,v199830
1998-11-29,referendum,TRUE,TRUE,FALSE,FALSE,200838,NA,v199840
1998-12-20,referendum,FALSE,TRUE,TRUE,FALSE,201039,Commune d'Avully,v199850
1999-02-07,referendum,TRUE,FALSE,FALSE,FALSE,201207,NA,v199910
1999-03-28,election,FALSE,FALSE,TRUE,FALSE,200881,Elections municipales,v199920
1999-04-18,referendum,TRUE,TRUE,FALSE,FALSE,201268,NA,v199930
1999-05-02,election,FALSE,FALSE,TRUE,FALSE,201269,Elections administratives,v199940
1999-06-13,referendum,TRUE,TRUE,FALSE,FALSE,201443,NA,v199950
1999-09-26,referendum,FALSE,TRUE,FALSE,FALSE,201813,NA,v199960
1999-10-26,election,TRUE,FALSE,FALSE,FALSE,201852,NA,v199970
2000-03-12,referendum,TRUE,TRUE,FALSE,FALSE,201905,NA,v200010
2000-05-21,referendum,TRUE,FALSE,FALSE,FALSE,202344,NA,v200020
2000-09-24,referendum,TRUE,FALSE,TRUE,FALSE,203751,Commune de Carouge,v200040
2000-11-26,referendum,TRUE,TRUE,TRUE,FALSE,204131,Commune de Carouge,v200050
2001-03-04,referendum,TRUE,TRUE,TRUE,FALSE,204771,Commune de Confignon,v200110
2001-06-10,referendum,TRUE,FALSE,FALSE,FALSE,205704,NA,v200120
2001-09-23,referendum,FALSE,FALSE,TRUE,FALSE,13605,Commune de Lancy,v200130
2001-10-07,election,FALSE,TRUE,FALSE,FALSE,206479,Grand Conseil,v200140
2001-11-11,election,FALSE,TRUE,FALSE,FALSE,206533,Conseil d'Etat,v200150
2001-12-02,referendum,TRUE,TRUE,TRUE,FALSE,206470,Commune de Genève,v200160
2002-03-03,referendum,TRUE,TRUE,FALSE,FALSE,206900,NA,v200210
2002-06-02,referendum,TRUE,TRUE,FALSE,FALSE,207448,NA,v200230
2002-09-22,referendum,TRUE,TRUE,FALSE,FALSE,207984,NA,v200250
2002-10-27,referendum,TRUE,TRUE,TRUE,FALSE,208046,Commune de Meinier,v200260
2002-11-24,referendum,TRUE,TRUE,FALSE,FALSE,207987,NA,v200270
2003-01-19,referendum,FALSE,FALSE,TRUE,TRUE,NA,Commune d'Anières,NA
2003-02-09,referendum,TRUE,FALSE,FALSE,FALSE,208391,NA,v200310
2003-03-02,election,FALSE,TRUE,FALSE,FALSE,208119,Election complémentaire Conseil d'Etat,v200320
2003-03-30,election,FALSE,FALSE,TRUE,FALSE,208252,Elections municipales,v200330
2003-05-04,election,FALSE,FALSE,TRUE,FALSE,208560,Elections administratives,v200340
2003-05-18,referendum,TRUE,TRUE,FALSE,FALSE,208676,NA,v200350
2003-10-19,election,TRUE,FALSE,FALSE,FALSE,209550,NA,v200360
2003-11-30,referendum,FALSE,FALSE,TRUE,TRUE,NA,Commune de Cologny,NA
2004-02-08,referendum,TRUE,TRUE,FALSE,FALSE,210208,NA,v200410
2004-04-18,referendum,FALSE,FALSE,TRUE,TRUE,NA,Commune de Carouge,NA
2004-05-16,referendum,TRUE,FALSE,FALSE,FALSE,210393,NA,v200430
2004-06-13,referendum,FALSE,FALSE,TRUE,TRUE,NA,Commune de Meyrin,NA
2004-09-26,referendum,TRUE,TRUE,TRUE,TRUE,211342,Commune de Chêne-Bougeries,v200450
2004-10-24,referendum,FALSE,FALSE,TRUE,TRUE,NA,Commune de Vandoeuvres,NA
2004-11-28,referendum,TRUE,TRUE,FALSE,TRUE,211481,NA,v200460
2005-04-24,referendum,FALSE,TRUE,TRUE,TRUE,211611,Commune de Genève,v200510
2005-06-05,referendum,TRUE,FALSE,FALSE,FALSE,211630,NA,v200520
2005-09-25,referendum,TRUE,FALSE,FALSE,FALSE,212241,NA,v200530
2005-10-09,election,FALSE,TRUE,FALSE,FALSE,212103,Grand Conseil,v200540
2005-11-13,election,FALSE,TRUE,FALSE,FALSE,212177,Conseil d'Etat,v200550
2005-11-27,referendum,TRUE,FALSE,FALSE,FALSE,212314,NA,v200560
2006-05-21,referendum,TRUE,FALSE,FALSE,FALSE,213285,NA,v200610
2006-09-24,referendum,TRUE,TRUE,FALSE,FALSE,214156,NA,v200620
2006-10-22,referendum,FALSE,FALSE,TRUE,FALSE,138132,"Communes de Chancy, Genève et Lancy",v200630
2006-11-26,referendum,TRUE,FALSE,FALSE,FALSE,214396,NA,v200640
2007-03-11,referendum,TRUE,TRUE,FALSE,FALSE,215296,NA,v200710
2007-03-25,election,FALSE,FALSE,TRUE,FALSE,290496,Elections municipales,v200720
2007-04-29,election,FALSE,FALSE,TRUE,FALSE,290675,Elections administratives,v200730
2007-05-20,referendum,FALSE,TRUE,FALSE,FALSE,216299,NA,v200740
2007-06-03,election,FALSE,FALSE,TRUE,FALSE,33419,Election complémentaire Conseil administratif Onex et Vernier,v200735
2007-06-17,referendum,TRUE,TRUE,FALSE,FALSE,216600,NA,v200750
2007-10-21,election,TRUE,FALSE,FALSE,FALSE,232572,NA,v200760
2007-12-16,referendum,FALSE,TRUE,FALSE,FALSE,217376,NA,v200770
2008-02-28,referendum,TRUE,TRUE,FALSE,FALSE,217583,NA,v200810
2008-04-20,election,FALSE,TRUE,FALSE,FALSE,217364,Pouvoir Judiciaire,v200820
2008-06-01,referendum,TRUE,TRUE,FALSE,FALSE,217530,NA,v200830
2008-10-19,election,FALSE,TRUE,FALSE,FALSE,218555,Assemblée constituante,v200840
2008-11-30,referendum,TRUE,TRUE,FALSE,TRUE,218524,NA,v200850
2008-11-30,referendum,FALSE,FALSE,TRUE,FALSE,12443,Commune d'Onex,v200855
2009-02-08,referendum,TRUE,TRUE,FALSE,FALSE,218578,NA,v200910
2009-05-17,referendum,TRUE,TRUE,FALSE,TRUE,217837,NA,v200930
2009-09-27,referendum,TRUE,TRUE,TRUE,TRUE,218453,Commune de Genève,v200950
2009-10-11,election,FALSE,TRUE,FALSE,FALSE,218497,Grand Conseil,v200960
2009-11-15,election,FALSE,TRUE,FALSE,FALSE,218533,Conseil d'Etat,v200970
2009-11-29,referendum,TRUE,TRUE,FALSE,TRUE,218507,NA,v200980
2010-03-07,referendum,TRUE,TRUE,FALSE,TRUE,218852,NA,v201020
2010-09-26,referendum,TRUE,TRUE,FALSE,TRUE,219799,NA,v201040
2010-11-28,referendum,TRUE,TRUE,FALSE,TRUE,219801,NA,v201050
2011-02-13,referendum,TRUE,TRUE,FALSE,TRUE,220110,NA,v201110
2011-03-13,election,FALSE,FALSE,TRUE,FALSE,297471,Elections municipales,v201120
2011-04-17,election,FALSE,FALSE,TRUE,FALSE,297921,Elections administratives (avec Corsier),v201130
2011-04-17,election,FALSE,FALSE,TRUE,FALSE,296684,Elections administratives (sans Corsier),v201131
2011-05-15,referendum,FALSE,TRUE,FALSE,TRUE,220613,NA,v201140
2011-05-15,referendum,FALSE,TRUE,TRUE,TRUE,224708,Commune de Meyrin,v201141
2011-09-18,election,FALSE,TRUE,FALSE,FALSE,220921,Election complémentaire Cour des comptes,v201150
2011-09-18,election,FALSE,FALSE,TRUE,FALSE,1259,Conseil municipal Corsier,v201151
2011-09-18,election,FALSE,FALSE,TRUE,FALSE,443,Election complémentaire Conseil municipal Presinge,v201152
2011-10-23,election,TRUE,FALSE,FALSE,FALSE,220940,NA,v201160
2011-10-23,election,FALSE,FALSE,TRUE,FALSE,1261,Conseil administratif Corsier,v201161
2011-11-27,referendum,FALSE,TRUE,FALSE,TRUE,220994,NA,v201170
2011-11-27,referendum,FALSE,TRUE,TRUE,TRUE,222393,Commune de Chêne-Bougeries,v201171
2012-03-11,referendum,TRUE,TRUE,FALSE,TRUE,221251,NA,v201210
2012-06-17,election,FALSE,TRUE,FALSE,TRUE,221612,Election complémentaire Conseil d'Etat,v201225
2012-06-17,referendum,TRUE,TRUE,FALSE,TRUE,221612,NA,v201220
2012-09-23,referendum,TRUE,FALSE,FALSE,TRUE,221792,NA,v201230
2012-09-23,referendum,FALSE,FALSE,TRUE,FALSE,117515,Commune de Genève,v201235
2012-10-14,referendum,FALSE,TRUE,FALSE,TRUE,221880,NA,v201240
2012-11-04,election,FALSE,TRUE,FALSE,TRUE,221813,Cour des comptes,v201250
2012-11-04,election,FALSE,FALSE,TRUE,TRUE,82408,Election complémentaire Conseil administratif Genève,v201255
2012-11-25,referendum,TRUE,TRUE,FALSE,TRUE,221900,NA,v201260
2013-03-03,referendum,TRUE,TRUE,FALSE,TRUE,222232,NA,v201310
2013-06-09,referendum,TRUE,TRUE,FALSE,TRUE,222485,NA,v201320
2013-06-09,election,FALSE,FALSE,TRUE,FALSE,688,Election complémentaire adjoint au maire Aire-la-Ville,v201321
2013-06-09,referendum,FALSE,FALSE,TRUE,TRUE,13924,Commune de Carouge,v201322
2013-09-22,referendum,TRUE,TRUE,FALSE,TRUE,222782,NA,v201330
2013-09-22,referendum,FALSE,FALSE,TRUE,TRUE,7075,Commune de Bernex,v201331
2013-10-06,election,FALSE,TRUE,FALSE,FALSE,222686,Grand Conseil et premier tour du Conseil d'Etat,v201340
2013-11-10,election,FALSE,TRUE,FALSE,FALSE,222601,Second tour de l'élection du Conseil d'Etat,v201350
2013-11-24,referendum,TRUE,FALSE,FALSE,TRUE,222730,NA,v201360
2013-11-24,referendum,FALSE,FALSE,TRUE,TRUE,3280,Commune de Cologny,v201361
2013-11-24,referendum,FALSE,FALSE,TRUE,FALSE,118300,Commune de Genève,v201362
2014-02-09,referendum,TRUE,TRUE,FALSE,TRUE,222392,NA,v201410
2014-02-09,referendum,FALSE,FALSE,TRUE,FALSE,117935,Commune de Genève,v201411
2014-02-09,referendum,FALSE,FALSE,TRUE,FALSE,7784,Commune de Versoix,v201412
2014-04-13,election,FALSE,TRUE,FALSE,FALSE,222675,Pouvoir Judiciaire,v201420
2014-04-13,election,FALSE,FALSE,TRUE,FALSE,6064,Election complémentaire Conseil administratif Bernex,v201421
2014-05-18,referendum,TRUE,TRUE,FALSE,TRUE,222697,NA,v201430
2014-09-28,referendum,TRUE,TRUE,FALSE,TRUE,223407,NA,v201440
2014-09-28,election,FALSE,FALSE,TRUE,FALSE,1622,Election complémentaire adjoint au maire Troinex,v201441
2014-09-28,election,FALSE,FALSE,TRUE,FALSE,302,Election complémentaire maire et Conseil municipal Gy,v201442
2014-09-28,election,FALSE,FALSE,TRUE,FALSE,642,Election complémentaire maire Hermance,v201443
2014-11-30,referendum,TRUE,TRUE,FALSE,TRUE,224079,NA,v201450
2015-03-08,referendum,TRUE,TRUE,FALSE,TRUE,224761,NA,v201510
2015-04-19,election,FALSE,FALSE,TRUE,TRUE,310218,Elections municipales + Premier tour élections administratives,v201520
2015-05-10,election,FALSE,FALSE,TRUE,TRUE,239203,Second tour élections administratives,v201530
2015-06-14,referendum,TRUE,TRUE,FALSE,TRUE,247288,NA,v201540
2015-10-18,election,TRUE,FALSE,FALSE,TRUE,249164,Conseil National + Premier tour Conseil des Etats,v201550
2015-11-08,election,TRUE,TRUE,FALSE,TRUE,249171,Second tour élection Conseil des Etats,v201560
2016-02-28,referendum,TRUE,TRUE,FALSE,TRUE,251216,NA,v201610
2016-02-28,referendum,FALSE,FALSE,TRUE,FALSE,121086,Commune de Genève,v201610_21
2016-06-05,referendum,TRUE,TRUE,FALSE,TRUE,253268,NA,v201620
2016-06-05,referendum,FALSE,FALSE,TRUE,FALSE,121860,Commune de Genève,v201620_21
2016-09-25,referendum,TRUE,TRUE,FALSE,TRUE,253988,NA,v201630
2016-09-25,referendum,FALSE,FALSE,TRUE,TRUE,14689,Commune de Meyrin,v201630_30
2016-09-25,referendum,FALSE,FALSE,TRUE,TRUE,1757,Commune de Vandoeuvres,v201630_42
2016-11-27,referendum,TRUE,TRUE,FALSE,TRUE,255267,NA,v201640
2016-11-27,referendum,FALSE,FALSE,TRUE,TRUE,121901,Commune de Genève,v201640_21
2017-02-12,referendum,TRUE,FALSE,FALSE,TRUE,256687,NA,v201710
2017-05-21,referendum,TRUE,TRUE,FALSE,TRUE,257536,NA,v201720
2017-05-21,referendum,FALSE,FALSE,TRUE,TRUE,13242,Commune de Onex,v201720_31
2017-05-21,referendum,FALSE,FALSE,TRUE,TRUE,1645,Commune de Troinex,v201720_41
2017-09-24,referendum,TRUE,TRUE,FALSE,TRUE,259675,NA,v201730
2017-09-24,election,FALSE,FALSE,TRUE,FALSE,1450,Commune de Corsier,v201730_19
2017-09-24,referendum,FALSE,FALSE,TRUE,TRUE,14988,Commune de Carouge,v201730_08
2018-03-04,referendum,TRUE,FALSE,FALSE,TRUE,261541,NA,v201810
2018-03-04,election,FALSE,FALSE,TRUE,TRUE,1461,Election complémentaire adjoint au maire Corsier,v201810_21
2018-03-04,referendum,FALSE,FALSE,TRUE,TRUE,7319,Commune de Bernex,v201810_07
2018-03-04,referendum,FALSE,FALSE,TRUE,TRUE,7956,Commune de Chêne-Bougeries,v201810_12
2018-03-04,referendum,FALSE,FALSE,TRUE,FALSE,122872,Commune de Genève,v201810_19
2018-04-15,election,FALSE,TRUE,FALSE,TRUE,262541,Grand Conseil et premier tour du Conseil d'Etat,v201820
2018-05-06,election,FALSE,TRUE,FALSE,TRUE,262714,Second tour de l'élection du Conseil d'Etat,v201830
2018-06-10,referendum,TRUE,TRUE,FALSE,TRUE,263091,NA,v201840
2018-09-23,referendum,TRUE,FALSE,FALSE,TRUE,264271,NA,v201850
2018-09-23,election,FALSE,FALSE,TRUE,FALSE,1064,Election complémentaire adjoint au maire Collex-Bossy,v201850_15
2018-09-23,election,FALSE,FALSE,TRUE,FALSE,2248,Election complémentaire Conseil administratif Perly-Certoux (1T),v201850_32
2018-10-14,election,FALSE,FALSE,TRUE,FALSE,2238,Election complémentaire Conseil administratif Perly-Certoux (2T),v201860_32
2018-10-14,election,FALSE,FALSE,TRUE,FALSE,23603,Election complémentaire Conseil administratif Vernier (1T),v201860_43
2018-10-14,referendum,FALSE,FALSE,TRUE,FALSE,828,Commune d'Aire-la-Ville,v201860_01
2018-10-14,referendum,FALSE,FALSE,TRUE,FALSE,1606,Commune d'Anières,v201860_02
2018-11-25,referendum,TRUE,FALSE,FALSE,TRUE,264781,NA,v201880
2019-02-10,referendum,TRUE,TRUE,FALSE,TRUE,265510,NA,v201910
2019-02-10,election,FALSE,FALSE,TRUE,FALSE,NA,Election complémentaire conseil municipal Puplinge (no actual ballot because the only candidate got silently elected),NA
2019-04-07,election,FALSE,FALSE,TRUE,FALSE,NA,Election complémentaire maire Collex-Bossy (no actual ballot because the only candidate got silently elected),NA
2019-04-07,referendum,FALSE,FALSE,TRUE,FALSE,NA,Commune de Dardagny,NA
2019-05-19,referendum,TRUE,TRUE,FALSE,TRUE,266358,NA,v201920
2019-10-20,election,TRUE,FALSE,FALSE,FALSE,268337,Conseil National + Premier tour Conseil des Etats,v201940
2019-11-10,election,TRUE,FALSE,FALSE,FALSE,268317,Second tour Conseil des Etats,v201950
2020-02-09,referendum,TRUE,TRUE,FALSE,FALSE,269707,NA,v202010
2020-03-15,election,FALSE,FALSE,TRUE,FALSE,329725,Elections municipales + Premier tour élections administratives,v202020
2020-04-05,election,FALSE,FALSE,TRUE,FALSE,258490,Second tour élections administratives,v202030
